"","x"
"1089","ARSH"
"1090","ARSI"
"1091","ARSJ"
"1092","ARSK"
"1093","ART1"
"1094","ART3"
"1095","ART4"
"1096","ART5"
"1097","ARTN"
"1098","ARV1"
"1099","ARVCF"
"1100","ARX"
"1101","AS3MT"
"1102","ASAH1"
"1103","ASAH2"
"1104","ASAH2B"
"1105","ASAP1"
"1106","ASAP2"
"1107","ASAP3"
"1108","ASB1"
"1109","ASB10"
"1110","ASB11"
"1111","ASB12"
"1112","ASB13"
"1113","ASB14"
"1114","ASB15"
"1115","ASB16"
"1116","ASB17"
"1117","ASB18"
"1118","ASB2"
"1119","ASB3"
"1120","ASB4"
"1121","ASB5"
"1122","ASB6"
"1123","ASB7"
"1124","ASB8"
"1125","ASB9"
"1126","ASCC1"
"1127","ASCC2"
"1128","ASCC3"
"1129","ASCL1"
"1130","ASCL2"
"1131","ASCL3"
"1132","ASCL4"
"1133","ASCL5"
"1134","ASF1A"
"1135","ASF1B"
"1136","ASGR1"
"1137","ASGR2"
"1138","ASH1L"
"1139","ASH2L"
"1140","ASIC1"
"1141","ASIC2"
"1142","ASIC3"
"1143","ASIC4"
"1144","ASIC5"
"1145","ASIP"
"1146","ASL"
"1147","ASMT"
"1148","ASMTL"
"1149","ASNA1"
"1150","ASNS"
"1151","ASNSD1"
"1152","ASPA"
"1153","ASPDH"
"1154","ASPG"
"1155","ASPH"
"1156","ASPHD1"
"1157","ASPHD2"
"1158","ASPM"
"1159","ASPN"
"1160","ASPRV1"
"1161","ASPSCR1"
"1162","ASRGL1"
"1163","ASS1"
"1164","ASTE1"
"1165","ASTL"
"1166","ASTN1"
"1167","ASTN2"
"1168","ASXL1"
"1169","ASXL2"
"1170","ASXL3"
"1171","ASZ1"
"1172","ATAD1"
"1173","ATAD2"
"1174","ATAD2B"
"1175","ATAD3A"
"1176","ATAD3B"
"1177","ATAD3C"
"1178","ATAD5"
"1179","ATAT1"
"1180","ATCAY"
"1181","ATE1"
"1182","ATF1"
"1183","ATF2"
"1184","ATF3"
"1185","ATF4"
"1186","ATF5"
"1187","ATF6"
"1188","ATF6B"
"1189","ATF7"
"1190","ATF7IP"
"1191","ATF7IP2"
"1192","ATG10"
"1193","ATG101"
"1194","ATG12"
"1195","ATG13"
"1196","ATG14"
"1197","ATG16L1"
"1198","ATG16L2"
"1199","ATG2A"
"1200","ATG2B"
"1201","ATG3"
"1202","ATG4A"
"1203","ATG4B"
"1204","ATG4C"
"1205","ATG4D"
"1206","ATG5"
"1207","ATG7"
"1208","ATG9A"
"1209","ATG9B"
"1210","ATIC"
"1211","ATL1"
"1212","ATL2"
"1213","ATL3"
"1214","ATM"
"1215","ATMIN"
"1216","ATN1"
"1217","ATOH1"
"1218","ATOH7"
"1219","ATOH8"
"1220","ATOX1"
"1221","ATP10A"
"1222","ATP10B"
"1223","ATP10D"
"1224","ATP11A"
"1225","ATP11B"
"1226","ATP11C"
"1227","ATP12A"
"1228","ATP13A1"
"1229","ATP13A2"
"1230","ATP13A3"
"1231","ATP13A4"
"1232","ATP13A5"
"1233","ATP1A1"
"1234","ATP1A2"
"1235","ATP1A3"
"1236","ATP1A4"
"1237","ATP1B1"
"1238","ATP1B2"
"1239","ATP1B3"
"1240","ATP1B4"
"1241","ATP23"
"1242","ATP2A1"
"1243","ATP2A2"
"1244","ATP2A3"
"1245","ATP2B1"
"1246","ATP2B2"
"1247","ATP2B3"
"1248","ATP2B4"
"1249","ATP2C1"
"1250","ATP2C2"
"1251","ATP4A"
"1252","ATP4B"
"1253","ATP5F1A"
"1254","ATP5F1B"
"1255","ATP5F1C"
"1256","ATP5F1D"
"1257","ATP5F1E"
"1258","ATP5IF1"
"1259","ATP5MC1"
"1260","ATP5MC2"
"1261","ATP5MC3"
"1262","ATP5MD"
"1263","ATP5ME"
"1264","ATP5MF"
"1265","ATP5MF-PTCD1"
"1266","ATP5MG"
"1267","ATP5MGL"
"1268","ATP5MPL"
"1269","ATP5PB"
"1270","ATP5PD"
"1271","ATP5PF"
"1272","ATP5PO"
"1273","ATP6AP1"
"1274","ATP6AP1L"
"1275","ATP6AP2"
"1276","ATP6V0A1"
"1277","ATP6V0A2"
"1278","ATP6V0A4"
"1279","ATP6V0B"
"1280","ATP6V0C"
"1281","ATP6V0D1"
"1282","ATP6V0D2"
"1283","ATP6V0E1"
"1284","ATP6V0E2"
"1285","ATP6V1A"
"1286","ATP6V1B1"
"1287","ATP6V1B2"
"1288","ATP6V1C1"
"1289","ATP6V1C2"
"1290","ATP6V1D"
"1291","ATP6V1E1"
"1292","ATP6V1E2"
"1293","ATP6V1F"
"1294","ATP6V1FNB"
"1295","ATP6V1G1"
"1296","ATP6V1G2"
"1297","ATP6V1G3"
"1298","ATP6V1H"
"1299","ATP7A"
"1300","ATP7B"
"1301","ATP8A1"
"1302","ATP8A2"
"1303","ATP8B1"
"1304","ATP8B2"
"1305","ATP8B3"
"1306","ATP8B4"
"1307","ATP9A"
"1308","ATP9B"
"1309","ATPAF1"
"1310","ATPAF2"
"1311","ATR"
"1312","ATRAID"
"1313","ATRIP"
"1314","ATRN"
"1315","ATRNL1"
"1316","ATRX"
"1317","ATXN1"
"1318","ATXN10"
"1319","ATXN1L"
"1320","ATXN2"
"1321","ATXN2L"
"1322","ATXN3"
"1323","ATXN3L"
"1324","ATXN7"
"1325","ATXN7L1"
"1326","ATXN7L2"
"1327","ATXN7L3"
"1328","ATXN7L3B"
